dataset,partition,num_clients,seed,round,client_id,global_gtg_rob,gtg_rob_contribution,global_gtg_adv,gtg_adv_contribution,global_gtg_priv,gtg_priv_contribution,gtg_priv_abs_contribution,accuracy,precision,recall,f1,loss,gtg_loss_contribution,gtg_acc_contribution,global_gtg_loss,global_gtg_acc,acc_contribution
imdb,iid,20,107,8,18,0.6731380224227905,0.0,0.0736154317855835,0.0,0.911688888888889,0.0,,0.4962,0.4962,1.0,0.663280310118968,0.7227785587310791,0.0,0.0,0.7227785587310791,0.4962,0.0
imdb,iid,20,107,8,19,0.6731380224227905,-0.000297399000688,0.0736154317855835,0.0003644156684145,0.911688888888889,0.0,,0.4962,0.4962,1.0,0.663280310118968,0.7227785587310791,0.0,0.0,0.7227785587310791,0.4962,0.0
imdb,iid,20,107,9,0,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,-0.0012505436470953,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,1,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,-0.0010799822353181,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,2,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,3,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,4,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,5,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,-0.0014871906389147,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,6,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,7,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,8,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,9,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,10,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0001090193641917,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,11,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0003918297607952,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,12,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,13,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,14,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,15,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,-0.0008427565496531,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,16,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0003037485761623,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,17,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,18,0.6530560255050659,0.0,0.049652099609375,0.0,0.8570222222222224,0.0,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
imdb,iid,20,107,9,19,0.6530560255050659,-0.0002281165704494,0.049652099609375,-0.0002349477147431,0.8570222222222224,-0.0001935901418659,,0.4964,0.4962992598519704,1.0,0.6633689839572192,0.7073028087615967,0.0,0.0,0.7073028087615967,0.4964,0.0
