dataset,partition,num_clients,seed,round,client_id,global_l1o_rob,l1o_rob_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_priv,l1o_priv_contribution,l1o_priv_abs_contribution,accuracy,precision,recall,f1,loss,l1o_loss_contribution,l1o_acc_contribution,global_l1o_loss,global_l1o_acc,acc_contribution
imdb,noniid,20,42,2,0,0.6609119999999999,0.0272959999999999,0.6472503617945007,0.079207273823226,0.852311111111111,-0.0106222222222223,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0005462765693664,-0.0007999999999999,0.6910521388053894,0.5076,-0.0007999999999999
imdb,noniid,20,42,2,1,0.6609119999999999,0.0488399999999999,0.6472503617945007,0.123895797038662,0.852311111111111,0.0273999999999998,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0003503561019897,-0.004,0.6910521388053894,0.5076,-0.004
imdb,noniid,20,42,2,2,0.6609119999999999,0.0338859999999999,0.6472503617945007,0.0878373338775357,0.852311111111111,-0.0092999999999998,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0003561377525329,-0.0023999999999999,0.6910521388053894,0.5076,-0.0023999999999999
imdb,noniid,20,42,2,3,0.6609119999999999,0.0307779999999999,0.6472503617945007,0.0840566632624563,0.852311111111111,-0.0105555555555556,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0004602670669555,-0.0023999999999999,0.6910521388053894,0.5076,-0.0023999999999999
imdb,noniid,20,42,2,4,0.6609119999999999,0.0323559999999999,0.6472503617945007,0.0858907911326044,0.852311111111111,-0.0111777777777779,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0003846287727355,-0.0021999999999999,0.6910521388053894,0.5076,-0.0021999999999999
imdb,noniid,20,42,2,5,0.6609119999999999,0.0347799999999999,0.6472503617945007,0.0932832424235213,0.852311111111111,-0.0104444444444442,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.00038743019104,-0.0021999999999999,0.6910521388053894,0.5076,-0.0021999999999999
imdb,noniid,20,42,2,6,0.6609119999999999,0.0435499999999999,0.6472503617945007,0.1130910697591024,0.852311111111111,0.0439444444444443,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0003553628921508,-0.0031999999999999,0.6910521388053894,0.5076,-0.0031999999999999
imdb,noniid,20,42,2,7,0.6609119999999999,0.0341599999999999,0.6472503617945007,0.0875943245318707,0.852311111111111,0.0360444444444445,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0004400014877319,-0.0023999999999999,0.6910521388053894,0.5076,-0.0023999999999999
imdb,noniid,20,42,2,8,0.6609119999999999,0.0463659999999999,0.6472503617945007,0.1217546110862853,0.852311111111111,-0.002811111111111,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0003964900970458,-0.0037999999999999,0.6910521388053894,0.5076,-0.0037999999999999
imdb,noniid,20,42,2,9,0.6609119999999999,0.0403099999999999,0.6472503617945007,0.1099369289586797,0.852311111111111,0.0056222222222219,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0003977417945861,-0.0033999999999999,0.6910521388053894,0.5076,-0.0033999999999999
imdb,noniid,20,42,2,10,0.6609119999999999,0.0619999999999999,0.6472503617945007,0.1642858377340862,0.852311111111111,-0.0094666666666667,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0003473162651062,-0.0061999999999999,0.6910521388053894,0.5076,-0.0061999999999999
imdb,noniid,20,42,2,11,0.6609119999999999,0.045188,0.6472503617945007,0.1205436055157599,0.852311111111111,0.0110333333333332,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0003328919410705,-0.0031999999999999,0.6910521388053894,0.5076,-0.0031999999999999
imdb,noniid,20,42,2,12,0.6609119999999999,0.0385099999999999,0.6472503617945007,0.0971612352347859,0.852311111111111,-0.0049555555555556,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0003820657730102,-0.0021999999999999,0.6910521388053894,0.5076,-0.0021999999999999
imdb,noniid,20,42,2,13,0.6609119999999999,0.0248839999999999,0.6472503617945007,0.0716668788501559,0.852311111111111,-0.0096444444444445,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0005393624305725,-0.0003999999999999,0.6910521388053894,0.5076,-0.0003999999999999
imdb,noniid,20,42,2,14,0.6609119999999999,0.03932,0.6472503617945007,0.1038957064995469,0.852311111111111,-0.0110444444444446,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0003613233566284,-0.0023999999999999,0.6910521388053894,0.5076,-0.0023999999999999
imdb,noniid,20,42,2,15,0.6609119999999999,0.0409559999999999,0.6472503617945007,0.1087342098598184,0.852311111111111,-0.0113555555555555,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0003788471221923,-0.0025999999999999,0.6910521388053894,0.5076,-0.0025999999999999
imdb,noniid,20,42,2,16,0.6609119999999999,0.0359499999999999,0.6472503617945007,0.0900666591497544,0.852311111111111,0.0303999999999999,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0003796815872192,-0.0021999999999999,0.6910521388053894,0.5076,-0.0021999999999999
imdb,noniid,20,42,2,17,0.6609119999999999,0.0330659999999999,0.6472503617945007,0.0883952634045185,0.852311111111111,0.0153999999999998,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0003869533538818,-0.0025999999999999,0.6910521388053894,0.5076,-0.0025999999999999
imdb,noniid,20,42,2,18,0.6609119999999999,0.026648,0.6472503617945007,0.0787424708332381,0.852311111111111,-0.0030888888888889,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0004556775093078,-0.0007999999999999,0.6910521388053894,0.5076,-0.0007999999999999
imdb,noniid,20,42,2,19,0.6609119999999999,0.0433239999999999,0.6472503617945007,0.1157793575512192,0.852311111111111,0.0268333333333332,,0.5076,0.6708860759493671,0.0625245772709398,0.114388489208633,0.6910521388053894,0.0003337860107421,-0.0033999999999999,0.6910521388053894,0.5076,-0.0033999999999999
imdb,noniid,20,42,3,0,0.683942,0.025672,0.7065761258041459,0.0555122960169117,0.8507555555555555,-0.0007111111111111,,0.5098,0.7613636363636364,0.0526936688950059,0.0985656491357116,0.6891971230506897,0.0010040402412414,0.0006,0.6891971230506897,0.5098,0.0006
imdb,noniid,20,42,3,1,0.683942,0.048038,0.7065761258041459,0.1212524844057381,0.8507555555555555,-0.0008222222222225,,0.5098,0.7613636363636364,0.0526936688950059,0.0985656491357116,0.6891971230506897,0.0007045269012451,-0.0015999999999999,0.6891971230506897,0.5098,-0.0015999999999999
imdb,noniid,20,42,3,2,0.683942,0.0337100000000001,0.7065761258041459,0.0720012839208008,0.8507555555555555,-0.0006222222222223,,0.5098,0.7613636363636364,0.0526936688950059,0.0985656491357116,0.6891971230506897,0.0007200837135314,-0.0018,0.6891971230506897,0.5098,-0.0018
imdb,noniid,20,42,3,3,0.683942,0.0292620000000001,0.7065761258041459,0.0659125183209125,0.8507555555555555,0.0003111111111111,,0.5098,0.7613636363636364,0.0526936688950059,0.0985656491357116,0.6891971230506897,0.0008769035339355,-0.0005999999999999,0.6891971230506897,0.5098,-0.0005999999999999
imdb,noniid,20,42,3,4,0.683942,0.0318640000000001,0.7065761258041459,0.0708191886773457,0.8507555555555555,-0.0004111111111111,,0.5098,0.7613636363636364,0.0526936688950059,0.0985656491357116,0.6891971230506897,0.0007632374763488,-0.0005999999999999,0.6891971230506897,0.5098,-0.0005999999999999
imdb,noniid,20,42,3,5,0.683942,0.0357979999999999,0.7065761258041459,0.0799982856919439,0.8507555555555555,-0.0015111111111112,,0.5098,0.7613636363636364,0.0526936688950059,0.0985656491357116,0.6891971230506897,0.0007514953613281,-0.0015999999999999,0.6891971230506897,0.5098,-0.0015999999999999
imdb,noniid,20,42,3,6,0.683942,0.043008,0.7065761258041459,0.0995205896532551,0.8507555555555555,0.0004888888888887,,0.5098,0.7613636363636364,0.0526936688950059,0.0985656491357116,0.6891971230506897,0.0007034540176391,-0.0015999999999999,0.6891971230506897,0.5098,-0.0015999999999999
imdb,noniid,20,42,3,7,0.683942,0.033534,0.7065761258041459,0.0729614985186325,0.8507555555555555,-0.0010000000000001,,0.5098,0.7613636363636364,0.0526936688950059,0.0985656491357116,0.6891971230506897,0.0008348226547241,-0.0003999999999999,0.6891971230506897,0.5098,-0.0003999999999999
imdb,noniid,20,42,3,8,0.683942,0.047158,0.7065761258041459,0.1151296723966354,0.8507555555555555,-0.0008888888888889,,0.5098,0.7613636363636364,0.0526936688950059,0.0985656491357116,0.6891971230506897,0.000767707824707,-0.0013999999999999,0.6891971230506897,0.5098,-0.0013999999999999
imdb,noniid,20,42,3,9,0.683942,0.0404660000000001,0.7065761258041459,0.0990831286052663,0.8507555555555555,0.0001999999999997,,0.5098,0.7613636363636364,0.0526936688950059,0.0985656491357116,0.6891971230506897,0.0007672905921936,-0.0013999999999999,0.6891971230506897,0.5098,-0.0013999999999999
imdb,noniid,20,42,3,10,0.683942,0.065128,0.7065761258041459,0.1671966508638117,0.8507555555555555,-0.0003111111111111,,0.5098,0.7613636363636364,0.0526936688950059,0.0985656491357116,0.6891971230506897,0.0007003545761108,-0.0018,0.6891971230506897,0.5098,-0.0018
imdb,noniid,20,42,3,11,0.683942,0.0461260000000001,0.7065761258041459,0.1085232746219483,0.8507555555555555,-0.0004666666666668,,0.5098,0.7613636363636364,0.0526936688950059,0.0985656491357116,0.6891971230506897,0.0006803274154663,-0.0013999999999999,0.6891971230506897,0.5098,-0.0013999999999999
imdb,noniid,20,42,3,12,0.683942,0.036768,0.7065761258041459,0.0858260381770866,0.8507555555555555,-0.0004888888888887,,0.5098,0.7613636363636364,0.0526936688950059,0.0985656491357116,0.6891971230506897,0.0007309317588806,-0.0013999999999999,0.6891971230506897,0.5098,-0.0013999999999999
imdb,noniid,20,42,3,13,0.683942,0.022982,0.7065761258041459,0.0510245117566112,0.8507555555555555,-0.0012888888888888,,0.5098,0.7613636363636364,0.0526936688950059,0.0985656491357116,0.6891971230506897,0.0010017752647399,0.001,0.6891971230506897,0.5098,0.001
imdb,noniid,20,42,3,14,0.683942,0.0391019999999999,0.7065761258041459,0.0943383635663835,0.8507555555555555,-0.0009555555555555,,0.5098,0.7613636363636364,0.0526936688950059,0.0985656491357116,0.6891971230506897,0.0007010698318481,-0.0015999999999999,0.6891971230506897,0.5098,-0.0015999999999999
