dataset,partition,num_clients,seed,round,client_id,global_gtg_rob,gtg_rob_contribution,global_gtg_adv,gtg_adv_contribution,global_gtg_priv,gtg_priv_contribution,gtg_priv_abs_contribution,accuracy,precision,recall,f1,loss,gtg_loss_contribution,gtg_acc_contribution,global_gtg_loss,global_gtg_acc,acc_contribution
imdb,noniid,20,42,4,19,0.705476,0.0,0.7496448863636364,0.0,0.8900444444444444,0.0,,0.5158,0.7990196078431373,0.0640975226110892,0.1186749180924645,0.685746967792511,0.0,0.0,0.685746967792511,0.5158,0.0
imdb,noniid,20,42,5,0,0.7230719999999999,0.0,0.7881895332390382,0.0,0.9387111111111112,0.0037559259259259,,0.5378,0.8258426966292135,0.115611482500983,0.2028285615729562,0.6799123287200928,-0.0010448996391561,0.0,0.6799123287200928,0.5378,0.0
imdb,noniid,20,42,5,1,0.7230719999999999,0.0,0.7881895332390382,0.0,0.9387111111111112,0.0,,0.5378,0.8258426966292135,0.115611482500983,0.2028285615729562,0.6799123287200928,0.0,0.0,0.6799123287200928,0.5378,0.0
imdb,noniid,20,42,5,2,0.7230719999999999,0.0,0.7881895332390382,0.0,0.9387111111111112,0.0057429629629629,,0.5378,0.8258426966292135,0.115611482500983,0.2028285615729562,0.6799123287200928,0.0,0.0,0.6799123287200928,0.5378,0.0
imdb,noniid,20,42,5,3,0.7230719999999999,0.0,0.7881895332390382,0.0,0.9387111111111112,0.0,,0.5378,0.8258426966292135,0.115611482500983,0.2028285615729562,0.6799123287200928,0.0,0.0,0.6799123287200928,0.5378,0.0
imdb,noniid,20,42,5,4,0.7230719999999999,0.0,0.7881895332390382,0.0,0.9387111111111112,0.0,,0.5378,0.8258426966292135,0.115611482500983,0.2028285615729562,0.6799123287200928,0.0,0.0,0.6799123287200928,0.5378,0.0
imdb,noniid,20,42,5,5,0.7230719999999999,0.0,0.7881895332390382,0.0,0.9387111111111112,0.0,,0.5378,0.8258426966292135,0.115611482500983,0.2028285615729562,0.6799123287200928,0.0,0.0,0.6799123287200928,0.5378,0.0
imdb,noniid,20,42,5,6,0.7230719999999999,0.0,0.7881895332390382,0.0,0.9387111111111112,0.0,,0.5378,0.8258426966292135,0.115611482500983,0.2028285615729562,0.6799123287200928,0.0,0.0,0.6799123287200928,0.5378,0.0
imdb,noniid,20,42,5,7,0.7230719999999999,0.0,0.7881895332390382,0.0,0.9387111111111112,0.0,,0.5378,0.8258426966292135,0.115611482500983,0.2028285615729562,0.6799123287200928,0.0,0.0,0.6799123287200928,0.5378,0.0
imdb,noniid,20,42,5,8,0.7230719999999999,0.0,0.7881895332390382,0.0,0.9387111111111112,-0.0080337037037037,,0.5378,0.8258426966292135,0.115611482500983,0.2028285615729562,0.6799123287200928,0.0,0.0,0.6799123287200928,0.5378,0.0
imdb,noniid,20,42,5,9,0.7230719999999999,0.0,0.7881895332390382,0.0,0.9387111111111112,0.0,,0.5378,0.8258426966292135,0.115611482500983,0.2028285615729562,0.6799123287200928,0.0,0.0,0.6799123287200928,0.5378,0.0
