dataset,partition,num_clients,seed,round,client_id,global_l1o_rob,l1o_rob_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_fair,l1o_fair_contribution,global_l1o_priv,l1o_priv_contribution,l1o_priv_abs_contribution,global_l1o_fair_eo,l1o_fair_eo_contribution,l1o_fair_eo_abs_contribution,accuracy,precision,recall,f1,loss,loss_contribution,acc_contribution,global_l1o_loss,global_l1o_acc
cifar,iid,20,42,3,11,0.986248016357422,0.001002013683319,0.9959349593495936,0.0,1.0,0.0,0.8528444444444443,0.0120222222222221,,0.9998607680895114,0.0,0.0,0.0984,0.1098239295718287,0.1001949317738791,0.0182794311651247,3.3477206230163574,-0.003580093383789,-0.0,3.3477206230163574,0.0984
cifar,iid,20,42,3,12,0.986248016357422,0.0005120038986206,0.9959349593495936,-0.0020325203252031,1.0,0.0,0.8528444444444443,0.0210666666666663,,0.9998607680895114,0.0,0.0,0.0984,0.1098239295718287,0.1001949317738791,0.0182794311651247,3.3477206230163574,0.0046563148498535,0.0002,3.3477206230163574,0.0984
cifar,iid,20,42,3,13,0.986248016357422,0.0043660402297973,0.9959349593495936,0.0020325203252032,1.0,0.0,0.8528444444444443,0.0206888888888887,,0.9998607680895114,2.367993342922148e-05,2.367993342922148e-05,0.0984,0.1098239295718287,0.1001949317738791,0.0182794311651247,3.3477206230163574,-0.010383129119873,-0.0,3.3477206230163574,0.0984
cifar,iid,20,42,3,14,0.986248016357422,0.0014960169792175,0.9959349593495936,0.0,1.0,0.0,0.8528444444444443,0.0095333333333333,,0.9998607680895114,2.367993342922148e-05,2.367993342922148e-05,0.0984,0.1098239295718287,0.1001949317738791,0.0182794311651247,3.3477206230163574,0.0098681449890136,0.0002,3.3477206230163574,0.0984
cifar,iid,20,42,3,15,0.986248016357422,-0.0032219886779785,0.9959349593495936,-0.0020325203252031,1.0,0.0,0.8528444444444443,-0.0121777777777778,,0.9998607680895114,0.0,0.0,0.0984,0.1098239295718287,0.1001949317738791,0.0182794311651247,3.3477206230163574,-0.0119025707244873,-0.0,3.3477206230163574,0.0984
cifar,iid,20,42,3,16,0.986248016357422,0.0022479891777038,0.9959349593495936,0.0,1.0,0.0,0.8528444444444443,0.0138666666666666,,0.9998607680895114,2.367993342922148e-05,2.367993342922148e-05,0.0984,0.1098239295718287,0.1001949317738791,0.0182794311651247,3.3477206230163574,0.0019984245300292,-0.0,3.3477206230163574,0.0984
cifar,iid,20,42,3,17,0.986248016357422,-0.0002979636192321,0.9959349593495936,0.0,1.0,0.0,0.8528444444444443,0.0165555555555554,,0.9998607680895114,0.0,0.0,0.0984,0.1098239295718287,0.1001949317738791,0.0182794311651247,3.3477206230163574,0.0055980682373046,-0.0,3.3477206230163574,0.0984
cifar,iid,20,42,3,18,0.986248016357422,-0.0028379559516906,0.9959349593495936,-0.0020325203252031,1.0,0.0,0.8528444444444443,-0.0032444444444446,,0.9998607680895114,0.0,0.0,0.0984,0.1098239295718287,0.1001949317738791,0.0182794311651247,3.3477206230163574,0.0043349266052246,0.0002,3.3477206230163574,0.0984
cifar,iid,20,42,3,19,0.986248016357422,0.0009199976921081,0.9959349593495936,0.0,1.0,0.0,0.8528444444444443,0.0013999999999998,,0.9998607680895114,0.0,0.0,0.0984,0.1098239295718287,0.1001949317738791,0.0182794311651247,3.3477206230163574,0.0078723430633544,-0.0,3.3477206230163574,0.0984
cifar,iid,20,42,4,0,0.7917860150337219,0.0049400329589843,0.83203125,0.0177179037717601,1.0,0.0,0.8766666666666667,-0.0091555555555553,,0.9955069497612716,6.043959938062393e-05,6.043959938062393e-05,0.1032,0.2863360067940337,0.1049176165683021,0.0272775659562753,3.2499895095825195,-0.0016565322875976,-0.0003999999999999,3.2499895095825195,0.1032
cifar,iid,20,42,4,1,0.7917860150337219,-0.0115099549293518,0.83203125,-0.0114129770058708,1.0,0.0,0.8766666666666667,0.0131777777777777,,0.9955069497612716,-0.0002571362373314,0.0002571362373314,0.1032,0.2863360067940337,0.1049176165683021,0.0272775659562753,3.2499895095825195,0.0015795230865478,0.0003999999999999,3.2499895095825195,0.1032
cifar,iid,20,42,4,2,0.7917860150337219,0.0194860100746154,0.83203125,0.0239698296545105,1.0,0.0,0.8766666666666667,0.0166222222222223,,0.9955069497612716,-0.0001690506425011,0.0001690506425011,0.1032,0.2863360067940337,0.1049176165683021,0.0272775659562753,3.2499895095825195,-0.0057802200317382,-0.0012,3.2499895095825195,0.1032
cifar,iid,20,42,4,3,0.7917860150337219,0.0391340255737304,0.83203125,0.0470024592130517,1.0,0.0,0.8766666666666667,0.0069555555555556,,0.9955069497612716,0.0001861483589378,0.0001861483589378,0.1032,0.2863360067940337,0.1049176165683021,0.0272775659562753,3.2499895095825195,-0.0095422267913818,-0.001,3.2499895095825195,0.1032
