dataset,partition,num_clients,seed,round,client_id,global_l1o_acc,l1o_acc_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_fair_eo,l1o_fair_eo_contribution,global_l1o_fair,l1o_fair_contribution,global_l1o_loss,l1o_loss_contribution,global_l1o_priv,l1o_priv_contribution,global_l1o_rob,l1o_rob_contribution,acc_contribution
celeba,noniid,4,42,5,1,,,0.5374807650032974,-0.043883178278269,,,,,0.2500889003276825,0.0369681417942047,,,,,
celeba,noniid,4,42,5,2,,,0.5374807650032974,0.048210378737203,,,,,0.2500889003276825,0.0226684510707855,,,,,
celeba,noniid,4,42,5,3,,,0.5374807650032974,0.0389197731945748,,,,,0.2500889003276825,0.0400050282478332,,,,,
celeba,noniid,4,42,6,0,,,0.502302126726595,0.0164251834377839,,,,,0.2291578352451324,0.0045853704214096,,,,,
celeba,noniid,4,42,6,1,,,0.502302126726595,-0.0071943397045004,,,,,0.2291578352451324,0.0280540883541107,,,,,
celeba,noniid,4,42,6,2,,,0.502302126726595,0.0392896490082349,,,,,0.2291578352451324,0.0143464654684066,,,,,
celeba,noniid,4,42,6,3,,,0.502302126726595,0.0034029633624382,,,,,0.2291578352451324,0.0318794548511505,,,,,
celeba,noniid,4,42,7,0,,,0.5823957643944407,-0.0164755674340016,,,,,0.2515476644039154,0.0199773907661438,,,,,
celeba,noniid,4,42,7,1,,,0.5823957643944407,-0.037194212826516,,,,,0.2515476644039154,0.0452799201011657,,,,,
celeba,noniid,4,42,7,2,,,0.5823957643944407,0.0993876521383565,,,,,0.2515476644039154,-0.034343346953392,,,,,
celeba,noniid,4,42,7,3,,,0.5823957643944407,0.0312807279625573,,,,,0.2515476644039154,0.0341558456420898,,,,,
celeba,noniid,4,42,8,0,,,0.4886561954624782,-0.0514832243711175,,,,,0.2353993356227874,0.0319356620311737,,,,,
celeba,noniid,4,42,8,1,,,0.4886561954624782,0.0115535974880175,,,,,0.2353993356227874,0.0357255339622497,,,,,
celeba,noniid,4,42,8,2,,,0.4886561954624782,0.0776325734152341,,,,,0.2353993356227874,0.0222753882408142,,,,,
celeba,noniid,4,42,8,3,,,0.4886561954624782,0.0462680042309293,,,,,0.2353993356227874,0.0370086729526519,,,,,
celeba,noniid,4,42,9,0,,,0.4910323709536308,-0.0120982193862617,,,,,0.2296303212642669,0.020671933889389,,,,,
celeba,noniid,4,42,9,1,,,0.4910323709536308,-0.0338778624395468,,,,,0.2296303212642669,0.0452381670475006,,,,,
celeba,noniid,4,42,9,2,,,0.4910323709536308,0.0406061708639045,,,,,0.2296303212642669,0.0264537930488586,,,,,
celeba,noniid,4,42,9,3,,,0.4910323709536308,0.0097301272228785,,,,,0.2296303212642669,0.0304912030696868,,,,,
celeba,noniid,4,42,10,0,,,0.5082038941150733,-0.0269056114166494,,,,,0.253113180398941,0.0293643474578857,,,,,
celeba,noniid,4,42,10,1,,,0.5082038941150733,-0.0277336058849266,,,,,0.253113180398941,0.0426452755928039,,,,,
celeba,noniid,4,42,10,2,,,0.5082038941150733,0.0429245951008344,,,,,0.253113180398941,-0.0455048531293869,,,,,
celeba,noniid,4,42,10,3,,,0.5082038941150733,0.0500898590273539,,,,,0.253113180398941,0.0402119755744934,,,,,
celeba,noniid,4,107,1,0,0.6662,-0.0051999999999999,0.7937556289402582,-0.0010015947713891,0.9106515971788802,0.007051425448552,0.8837796618508011,0.0076649338296791,0.5625160932540894,-0.0109032392501831,0.8643777777777779,0.051888888888889,0.935608,-0.0026479999999999,-0.0051999999999999
celeba,noniid,4,107,1,1,0.6662,0.1308,0.7937556289402582,-0.2028823987026256,0.9106515971788802,-0.0879209269722065,0.8837796618508011,-0.1144000393578116,0.5625160932540894,0.2021191716194152,0.8643777777777779,0.0270444444444446,0.935608,-0.06296,0.1308
celeba,noniid,4,107,1,2,0.6662,0.0106,0.7937556289402582,0.1924743598737542,0.9106515971788802,-0.0613306397236422,0.8837796618508011,-0.0972711917217402,0.5625160932540894,-0.026301622390747,0.8643777777777779,0.0533111111111113,0.935608,-0.012116,0.0106
celeba,noniid,4,107,1,3,0.6662,0.0879999999999999,0.7937556289402582,-0.1187313997695308,0.9106515971788802,-0.0483849875646962,0.8837796618508011,-0.068357959297463,0.5625160932540894,0.0526251196861267,0.8643777777777779,0.0634444444444444,0.935608,-0.0438159999999999,0.0879999999999999
celeba,noniid,4,107,2,0,0.821,0.0413999999999999,0.7344701583434836,-0.0295113706457416,0.9399425404793916,0.0176038486046608,0.8675281654340019,0.0061644172584004,0.3843125700950622,0.0505940318107605,0.766188888888889,-0.1081444444444443,0.866296,-0.020866,0.0413999999999999
celeba,noniid,4,107,2,1,0.821,0.0907999999999999,0.7344701583434836,-0.0587371821111863,0.9399425404793916,0.0087275408927942,0.8675281654340019,-0.0160383082700601,0.3843125700950622,0.1333267092704773,0.766188888888889,-0.1129555555555554,0.866296,-0.003872,0.0907999999999999
celeba,noniid,4,107,2,2,0.821,-0.0566,0.7344701583434836,0.2196570316342767,0.9399425404793916,-0.045925768212866,0.8675281654340019,-0.0452664031879828,0.3843125700950622,-0.0769217908382415,0.766188888888889,-0.0127444444444442,0.866296,-0.040838,-0.0566
