dataset,partition,num_clients,seed,weight_metric,round,acc,loss,rel,res,fairDP,fairEO,priv
imdbnoniid,noniid,20,123,rel,10,0.8668,0.3092072606086731,0.763294,0.49353945546838945,,,0.8917836800000001
imdbnoniid,noniid,20,2025,rel,10,0.8666,0.31675955653190613,0.763068,0.49042234018001385,,,0.9319455999999999
imdbnoniid,noniid,20,9928,rel,10,0.872,0.30507659912109375,0.761682,0.4901376146788991,,,0.89157248
imdbnoniid,noniid,4,42,res,10,0.799,0.4755036234855652,0.771514,0.5121401752190238,,,0.8936499200000001
imdbnoniid,noniid,4,107,res,10,0.8568,0.3465367257595062,0.750036,0.44164332399626516,,,0.8987507200000002
imdbnoniid,noniid,4,123,res,10,0.8752,0.30597665905952454,0.744244,0.42984460694698357,,,0.82991616
imdbnoniid,noniid,4,2025,res,10,0.854,0.34944066405296326,0.751308,0.446135831381733,,,0.8920115200000001
imdbnoniid,noniid,4,9928,res,10,0.8792,0.29553741216659546,0.74478,0.43448589626933576,,,0.8402636800000001
imdbnoniid,noniid,20,42,res,10,0.8564,0.33049291372299194,0.764298,0.5042036431574031,,,0.96066176
imdbnoniid,noniid,20,107,res,10,0.8622,0.3132227063179016,0.759876,0.4906054279749478,,,0.9066265599999999
imdbnoniid,noniid,20,123,res,10,0.8502,0.3422028422355652,0.760178,0.5069395436367914,,,0.9639756799999999
imdbnoniid,noniid,20,2025,res,10,0.8456,0.35033515095710754,0.76146,0.5042573320719016,,,0.96240704
imdbnoniid,noniid,20,9928,res,10,0.868,0.3122358024120331,0.7634259999999999,0.49608294930875574,,,0.9330816
imdbnoniid,noniid,4,42,priv,10,0.8578,0.33153632283210754,0.744274,0.4210771741664724,,,0.8911744000000001
imdbnoniid,noniid,4,107,priv,10,0.8714,0.31764882802963257,0.7332719999999999,0.37089740647234337,,,0.8736351999999998
imdbnoniid,noniid,4,123,priv,10,0.8846,0.27576708793640137,0.729358,0.37259778430929236,,,0.7754201599999999
imdbnoniid,noniid,4,2025,priv,10,0.8714,0.3052973747253418,0.731464,0.3644709662611889,,,0.81937152
imdbnoniid,noniid,4,9928,priv,10,0.8882,0.2718234360218048,0.729042,0.35374915559558656,,,0.8360678399999999
imdbnoniid,noniid,20,42,priv,10,0.8676,0.30841800570487976,0.761086,0.4831719686491471,,,0.9082342399999999
imdbnoniid,noniid,20,107,priv,10,0.871,0.3055998980998993,0.762338,0.4881745120551091,,,0.85900544
imdbnoniid,noniid,20,123,priv,10,0.867,0.3065086901187897,0.75801,0.47797001153402535,,,0.8845299199999999
imdbnoniid,noniid,20,2025,priv,10,0.8708,0.3105565905570984,0.7601,0.47266881028938906,,,0.92289536
imdbnoniid,noniid,20,9928,priv,10,0.8744,0.3029424250125885,0.761594,0.4855901189387008,,,0.8813696
