dataset,partition,num_clients,seed,weight_metric,round,acc,loss,rel,res,fairDP,fairEO,priv
celebanoniid,noniid,4,9928,loss,10,0.8766,0.28789427876472473,0.925362,0.37668263746292496,0.8751375087804337,0.9806741108079066,0.93632256
celebanoniid,noniid,20,42,loss,10,0.9142,0.2200600653886795,0.899824,0.4598556114635747,0.8531870406960266,0.9744741438299608,0.9344422400000001
celebanoniid,noniid,20,107,loss,10,0.9114,0.20959794521331787,0.909158,0.5176651305683564,0.8378074178747037,0.9628934781105432,0.8968972800000001
celebanoniid,noniid,20,123,loss,10,0.9138,0.20876666903495789,0.93518,0.47362661413876117,0.8390052538829029,0.9695938797670298,0.9249446400000001
celebanoniid,noniid,20,2025,loss,10,0.9136,0.20619584619998932,0.905784,0.513353765323993,0.8452975899506653,0.9769272946735055,0.9262476799999999
celebanoniid,noniid,20,9928,loss,10,0.913,0.21727310121059418,0.9147959999999999,0.4843373493975903,0.8473539572541786,0.9696396463260766,0.8682035199999998
celebanoniid,noniid,4,42,fairdp,10,0.8368,0.3498867154121399,0.91492,0.5451720841300192,0.8916960717058483,0.9863637443170623,0.96492032
celebanoniid,noniid,4,107,fairdp,10,0.8758,0.3203771114349365,0.942416,0.620918017812286,0.8579438791648011,0.9596413861655316,0.9380006399999998
celebanoniid,noniid,4,123,fairdp,10,0.899,0.27390018105506897,0.907134,0.6037819799777531,0.8446789544814102,0.959741323550186,0.9454361600000001
celebanoniid,noniid,4,2025,fairdp,10,0.8704,0.29911577701568604,0.937012,0.6845128676470589,0.8483702282707373,0.9520951818703347,0.89493888
celebanoniid,noniid,4,9928,fairdp,10,0.8166,0.3865474760532379,0.925938,0.48052902277736953,0.9318235779805207,0.9617387283759808,0.9449728
celebanoniid,noniid,20,107,fairdp,10,0.9088,0.22868412733078003,0.902702,0.5545774647887324,0.8424385575031117,0.9663882948494759,0.9181203199999999
celebanoniid,noniid,20,123,fairdp,10,0.906,0.24480405449867249,0.926986,0.5432671081677705,0.8391342389674621,0.9664571920325142,0.9090444800000002
celebanoniid,noniid,20,2025,fairdp,10,0.9094,0.2552925646305084,0.8652340000000001,0.525621288761821,0.8398317442973393,0.9618395096927477,0.9321088
celebanoniid,noniid,20,9928,fairdp,10,0.9116,0.2464960515499115,0.93115,0.5445370776656429,0.8456837236432946,0.9644718433473021,0.90703424
celebanoniid,noniid,4,42,faireo,10,0.8764,0.2850259244441986,0.925276,0.44956640803286174,0.8850512859484305,0.9802372064078719,0.9294086399999999
celebanoniid,noniid,4,107,faireo,10,0.8692,0.2923680245876312,0.933314,0.4229176254026691,0.8825405953852916,0.98461071012546,0.96282048
celebanoniid,noniid,4,123,faireo,10,0.817,0.3981419801712036,0.933858,0.4866585067319461,0.9036013128545549,0.9827802239943944,0.96011008
celebanoniid,noniid,4,9928,faireo,10,0.8666,0.31012284755706787,0.916426,0.3660281560120009,0.8760872333520924,0.98712572194257,0.9614592
celebanoniid,noniid,4,2025,faireo,10,0.7902,0.42452237010002136,0.936564,0.5069602632245,0.8836718849485908,0.9846944583124441,0.9442463999999999
celebanoniid,noniid,20,107,faireo,10,0.9118,0.22612041234970093,0.9127,0.5248958104847554,0.8405333574324574,0.9697370497349465,0.8986745599999999
celebanoniid,noniid,20,42,faireo,10,0.8982,0.24182744324207306,0.899672,0.46604319750612333,0.8397150826285025,0.969564408651153,0.9249139200000001
celebanoniid,noniid,20,123,faireo,10,0.8746,0.2889091372489929,0.937144,0.4420306425794649,0.8680096451267052,0.9894839056810159,0.9694399999999999
celebanoniid,noniid,20,2025,faireo,10,0.8898,0.254823237657547,0.936106,0.4834794335805799,0.8638016094380933,0.9847399379478485,0.9579680000000002
celebanoniid,noniid,4,42,rel,10,0.5998,0.8958671689033508,0.951882,0.893297765921974,0.9489744864216498,0.9677251554337246,0.9766784
celebanoniid,noniid,20,9928,faireo,10,0.9022,0.2446783185005188,0.938954,0.47439592108180006,0.8591712913707334,0.9817742454531311,0.9604736
celebanoniid,noniid,4,107,rel,10,0.7032,0.6629425883293152,0.909954,0.7966439135381115,0.8771199355896139,0.9255449196726278,0.96117824
