dataset,K,row,metric,mean,std,n
imdbnoniid,20,BL,priv,0.967206784,0.011757229252740805,5
adultnoniid,4,ST,priv,0.9132124753746375,0.0117467889507887,5
adultnoniid,20,ST,priv,0.9336182060997785,0.023638221536665525,5
celebanoniid,4,ST,priv,0.958569984,0.014580084131786861,5
celebanoniid,20,ST,priv,0.934895872,0.012684929280632824,5
imdbnoniid,4,ST,priv,0.9587942399999999,0.01148858721618983,5
imdbnoniid,20,ST,priv,0.9676862720000001,0.002958686827242102,5
adultnoniid,4,DY,priv,0.9271165737996206,0.019567194821637966,5
adultnoniid,20,DY,priv,0.9372221115464358,0.03209711712644008,5
celebanoniid,4,DY,priv,0.9573690880000001,0.009956859803979168,5
celebanoniid,20,DY,priv,0.92580736,0.03695562058015858,5
imdbnoniid,4,DY,priv,0.942947328,0.008697804085552624,5
imdbnoniid,20,DY,priv,0.9710178559999999,0.004299468967366082,5
