dataset,num_clients,seed,target_group,condition,eval_metric,value
adultnoniid,4,123,robustness,DY,fairEO,0.9698262804796163
adultnoniid,4,123,robustness,DY,priv,0.977908106900736
adultnoniid,4,123,privacy,ST,acc,0.7378442010441192
adultnoniid,4,123,privacy,ST,loss,0.5246930122375488
adultnoniid,4,123,privacy,ST,rel,0.9831763742450609
adultnoniid,4,123,privacy,ST,res,0.8357380688124306
adultnoniid,4,123,privacy,ST,fairDP,0.6557282891713891
adultnoniid,4,123,privacy,ST,fairEO,0.8371196295731858
adultnoniid,4,123,privacy,ST,priv,0.988122643528049
adultnoniid,4,123,privacy,DY,acc,0.7474664755860375
adultnoniid,4,123,privacy,DY,loss,0.4963777959346771
adultnoniid,4,123,privacy,DY,rel,0.9850772852902037
adultnoniid,4,123,privacy,DY,res,0.8566146261298274
adultnoniid,4,123,privacy,DY,fairDP,0.6625441761258885
adultnoniid,4,123,privacy,DY,fairEO,0.841704244154849
adultnoniid,4,123,privacy,DY,priv,0.9700068618987538
adultnoniid,4,2025,fairness,BL,acc,0.8258777766403931
adultnoniid,4,2025,fairness,BL,loss,0.41673046350479126
adultnoniid,4,2025,fairness,BL,rel,0.9896642440372607
adultnoniid,4,2025,fairness,BL,res,0.9578582052553297
adultnoniid,4,2025,fairness,BL,fairDP,0.9333712931290405
adultnoniid,4,2025,fairness,BL,fairEO,0.9911259927942817
adultnoniid,4,2025,fairness,BL,priv,0.9734897953571173
adultnoniid,4,2025,robustness,BL,acc,0.8258777766403931
adultnoniid,4,2025,robustness,BL,loss,0.41673046350479126
adultnoniid,4,2025,robustness,BL,rel,0.9896642440372607
adultnoniid,4,2025,robustness,BL,res,0.9578582052553297
adultnoniid,4,2025,robustness,BL,fairDP,0.9333712931290405
adultnoniid,4,2025,robustness,BL,fairEO,0.9911259927942817
adultnoniid,4,2025,robustness,BL,priv,0.9734897953571173
adultnoniid,4,2025,privacy,BL,acc,0.8258777766403931
adultnoniid,4,2025,privacy,BL,loss,0.41673046350479126
adultnoniid,4,2025,privacy,BL,rel,0.9896642440372607
adultnoniid,4,2025,privacy,BL,res,0.9578582052553297
adultnoniid,4,2025,privacy,BL,fairDP,0.9333712931290405
adultnoniid,4,2025,privacy,BL,fairEO,0.9911259927942817
adultnoniid,4,2025,privacy,BL,priv,0.9734897953571173
adultnoniid,4,2025,fairness,ST,acc,0.7642542737230014
adultnoniid,4,2025,fairness,ST,loss,2.189821243286133
adultnoniid,4,2025,fairness,ST,rel,0.9999529122735182
adultnoniid,4,2025,fairness,ST,res,0.993302973479775
adultnoniid,4,2025,fairness,ST,fairDP,0.9937272737586721
adultnoniid,4,2025,fairness,ST,fairEO,0.9923929169122967
adultnoniid,4,2025,fairness,ST,priv,0.9881593677662472
adultnoniid,4,2025,fairness,DY,acc,0.7642542737230014
adultnoniid,4,2025,fairness,DY,loss,2.189821243286133
adultnoniid,4,2025,fairness,DY,rel,0.9999529122735182
adultnoniid,4,2025,fairness,DY,res,0.993302973479775
adultnoniid,4,2025,fairness,DY,fairDP,0.9937272737586721
adultnoniid,4,2025,fairness,DY,fairEO,0.9923929169122967
adultnoniid,4,2025,fairness,DY,priv,0.9880233707015034
adultnoniid,4,2025,robustness,ST,acc,0.7642542737230014
adultnoniid,4,2025,robustness,ST,loss,2.189821243286133
adultnoniid,4,2025,robustness,ST,rel,0.9999529122735182
adultnoniid,4,2025,robustness,ST,res,0.993302973479775
adultnoniid,4,2025,robustness,ST,fairDP,0.9937272737586721
adultnoniid,4,2025,robustness,ST,fairEO,0.9923929169122967
adultnoniid,4,2025,robustness,ST,priv,0.9829158508519686
adultnoniid,4,2025,robustness,DY,acc,0.7642542737230014
adultnoniid,4,2025,robustness,DY,loss,2.189821243286133
adultnoniid,4,2025,robustness,DY,rel,0.9999529122735182
adultnoniid,4,2025,robustness,DY,res,0.993302973479775
adultnoniid,4,2025,robustness,DY,fairDP,0.9937272737586721
adultnoniid,4,2025,robustness,DY,fairEO,0.9923929169122967
adultnoniid,4,2025,robustness,DY,priv,0.9917021667635919
adultnoniid,4,2025,privacy,ST,acc,0.8096018016173611
adultnoniid,4,2025,privacy,ST,loss,0.3843216896057129
adultnoniid,4,2025,privacy,ST,rel,0.9792076978196336
adultnoniid,4,2025,privacy,ST,res,0.814388671134151
adultnoniid,4,2025,privacy,ST,fairDP,0.7026041932574327
adultnoniid,4,2025,privacy,ST,fairEO,0.856703359555677
adultnoniid,4,2025,privacy,ST,priv,0.9725228914418103
adultnoniid,4,2025,privacy,DY,acc,0.7700890572218242
adultnoniid,4,2025,privacy,DY,loss,1.2722333669662476
adultnoniid,4,2025,privacy,DY,rel,0.9991339952912274
adultnoniid,4,2025,privacy,DY,res,0.9857769506845673
adultnoniid,4,2025,privacy,DY,fairDP,0.9910004557066384
adultnoniid,4,2025,privacy,DY,fairEO,0.9994656671965758
adultnoniid,4,2025,privacy,DY,priv,0.9762685960474657
adultnoniid,4,9928,fairness,BL,acc,0.8502405568635479
adultnoniid,4,9928,fairness,BL,loss,0.33495253324508667
adultnoniid,4,9928,fairness,BL,rel,0.9856372197768452
adultnoniid,4,9928,fairness,BL,res,0.9322176739706236
adultnoniid,4,9928,fairness,BL,fairDP,0.906764690866391
adultnoniid,4,9928,fairness,BL,fairEO,0.9789654524953624
adultnoniid,4,9928,fairness,BL,priv,0.9407158442784977
adultnoniid,4,9928,robustness,BL,acc,0.8502405568635479
adultnoniid,4,9928,robustness,BL,loss,0.33495253324508667
adultnoniid,4,9928,robustness,BL,rel,0.9856372197768452
adultnoniid,4,9928,robustness,BL,res,0.9322176739706236
adultnoniid,4,9928,robustness,BL,fairDP,0.906764690866391
adultnoniid,4,9928,robustness,BL,fairEO,0.9789654524953624
adultnoniid,4,9928,robustness,BL,priv,0.9407158442784977
adultnoniid,4,9928,privacy,BL,acc,0.8502405568635479
adultnoniid,4,9928,privacy,BL,loss,0.33495253324508667
adultnoniid,4,9928,privacy,BL,rel,0.9856372197768452
adultnoniid,4,9928,privacy,BL,res,0.9322176739706236
adultnoniid,4,9928,privacy,BL,fairDP,0.906764690866391
adultnoniid,4,9928,privacy,BL,fairEO,0.9789654524953624
adultnoniid,4,9928,privacy,BL,priv,0.9407158442784977
adultnoniid,4,9928,fairness,ST,acc,0.7591360425836831
adultnoniid,4,9928,fairness,ST,loss,2.358508825302124
adultnoniid,4,9928,fairness,ST,rel,1.0
adultnoniid,4,9928,fairness,ST,res,1.0
adultnoniid,4,9928,fairness,ST,fairDP,1.0
adultnoniid,4,9928,fairness,ST,fairEO,1.0
adultnoniid,4,9928,fairness,ST,priv,0.9704815939459674
adultnoniid,4,9928,fairness,DY,acc,0.7591360425836831
adultnoniid,4,9928,fairness,DY,loss,2.358508825302124
adultnoniid,4,9928,fairness,DY,rel,1.0
adultnoniid,4,9928,fairness,DY,res,1.0
adultnoniid,4,9928,fairness,DY,fairDP,1.0
adultnoniid,4,9928,fairness,DY,fairEO,1.0
adultnoniid,4,9928,fairness,DY,priv,0.9722354697784672
adultnoniid,4,9928,robustness,ST,acc,0.7591360425836831
adultnoniid,4,9928,robustness,ST,loss,2.358508825302124
adultnoniid,4,9928,robustness,ST,rel,1.0
adultnoniid,4,9928,robustness,ST,res,1.0
adultnoniid,4,9928,robustness,ST,fairDP,1.0
adultnoniid,4,9928,robustness,ST,fairEO,1.0
adultnoniid,4,9928,robustness,ST,priv,0.989611568235647
adultnoniid,4,9928,robustness,DY,acc,0.7591360425836831
adultnoniid,4,9928,robustness,DY,loss,2.358508825302124
adultnoniid,4,9928,robustness,DY,rel,1.0
adultnoniid,4,9928,robustness,DY,res,1.0
adultnoniid,4,9928,robustness,DY,fairDP,1.0
adultnoniid,4,9928,robustness,DY,fairEO,1.0
adultnoniid,4,9928,robustness,DY,priv,0.9898963068496238
adultnoniid,4,9928,privacy,ST,acc,0.7591360425836831
adultnoniid,4,9928,privacy,ST,loss,2.358508825302124
adultnoniid,4,9928,privacy,ST,rel,1.0
adultnoniid,4,9928,privacy,ST,res,1.0
adultnoniid,4,9928,privacy,ST,fairDP,1.0
adultnoniid,4,9928,privacy,ST,fairEO,1.0
adultnoniid,4,9928,privacy,ST,priv,0.9893764660349427
adultnoniid,4,9928,privacy,DY,acc,0.40648991708465554
adultnoniid,4,9928,privacy,DY,loss,2.299067735671997
adultnoniid,4,9928,privacy,DY,rel,0.9884522469034701
adultnoniid,4,9928,privacy,DY,res,0.6041299420800805
adultnoniid,4,9928,privacy,DY,fairDP,0.8089474027557961
adultnoniid,4,9928,privacy,DY,fairEO,0.9074935816491578
adultnoniid,4,9928,privacy,DY,priv,0.9963025902829343
