dataset,partition,num_clients,seed,round,client_id,global_l1o_acc,l1o_acc_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_loss,l1o_loss_contribution,global_l1o_priv,l1o_priv_contribution,global_l1o_rob,l1o_rob_contribution,acc_contribution
imdb,iid,4,42,6,0,0.873,-0.001,0.4375715922107674,0.004848480082621,0.2975708842277527,0.0010981857776641,0.8194444444444444,-0.0063111111111111,0.744846,0.000538,-0.001
imdb,iid,4,42,6,1,0.873,-0.0008,0.4375715922107674,0.004520550782523,0.2975708842277527,0.0008203387260437,0.8194444444444444,0.0061111111111111,0.744846,0.002332,-0.0008
imdb,iid,4,42,6,2,0.873,-0.002,0.4375715922107674,-0.0003712649320896,0.2975708842277527,0.0001447796821594,0.8194444444444444,-0.0144666666666666,0.744846,-0.0002079999999999,-0.002
imdb,iid,4,42,6,3,0.873,0.002,0.4375715922107674,-0.0016936201887732,0.2975708842277527,0.0027351081371307,0.8194444444444444,-0.0018222222222223,0.744846,-0.0001499999999999,0.002
imdb,iid,4,42,7,0,0.878,0.0023999999999999,0.424373576309795,0.0004357051357429,0.2904435992240906,0.0013069510459899,0.6981111111111109,0.0059111111111109,0.7407980000000001,0.001536,0.0023999999999999
imdb,iid,4,42,7,1,0.878,0.0013999999999999,0.424373576309795,0.0029727093237124,0.2904435992240906,0.001146525144577,0.6981111111111109,0.0181111111111107,0.7407980000000001,0.00154,0.0013999999999999
imdb,iid,4,42,7,2,0.878,-0.0006,0.424373576309795,-0.0010760025656887,0.2904435992240906,0.0001795589923858,0.6981111111111109,0.003022222222222,0.7407980000000001,0.00067,-0.0006
imdb,iid,4,42,7,3,0.878,0.0018,0.424373576309795,-0.0026978685658041,0.2904435992240906,0.0023426413536071,0.6981111111111109,-0.0171333333333336,0.7407980000000001,-0.000734,0.0018
imdb,iid,4,42,8,0,0.8808,0.0028,0.4114441416893733,0.0030158956757058,0.2830593287944793,0.0013100504875183,0.7771333333333335,-0.0156888888888888,0.736112,0.0007199999999999,0.0028
imdb,iid,4,42,8,1,0.8808,0.0001999999999999,0.4114441416893733,0.0055845005356145,0.2830593287944793,0.000897079706192,0.7771333333333335,0.0042000000000002,0.736112,0.0017939999999999,0.0001999999999999
imdb,iid,4,42,8,2,0.8808,-0.0003999999999999,0.4114441416893733,-0.000267161079578,0.2830593287944793,0.0004689395427703,0.7771333333333335,0.0062000000000002,0.736112,-0.0002119999999999,-0.0003999999999999
imdb,iid,4,42,8,3,0.8808,0.0018,0.4114441416893733,-0.0012976103015254,0.2830593287944793,0.00239098072052,0.7771333333333335,-0.0053777777777777,0.736112,0.000514,0.0018
imdb,iid,4,42,9,0,0.8842,0.0018,0.396516625197919,0.0053108228407114,0.2741790413856506,0.001839280128479,0.7258444444444443,-0.0150666666666667,0.732884,0.001722,0.0018
imdb,iid,4,42,9,1,0.8842,-0.0024,0.396516625197919,0.0098710127458549,0.2741790413856506,0.0011633932590484,0.7258444444444443,-0.0073111111111114,0.732884,0.0022959999999999,-0.0024
imdb,iid,4,42,9,2,0.8842,-0.0021999999999999,0.396516625197919,0.0036917154506266,0.2741790413856506,0.0005375444889068,0.7258444444444443,0.0024888888888887,0.732884,0.001688,-0.0021999999999999
imdb,iid,4,42,9,3,0.8842,0.0021999999999999,0.396516625197919,-0.0032566174324664,0.2741790413856506,0.0019986927509307,0.7258444444444443,-0.017066666666667,0.732884,0.0002879999999999,0.0021999999999999
imdb,iid,4,42,10,0,0.8916,0.0031999999999999,0.3759533423059668,0.0063000329858406,0.26572385430336,0.001700073480606,0.6183555555555555,-0.0401222222222221,0.7268220000000001,-3.599999999992498e-05,0.0031999999999999
imdb,iid,4,42,10,1,0.8916,0.0013999999999999,0.3759533423059668,0.0043514550896108,0.26572385430336,0.001442015171051,0.6183555555555555,-0.0278,0.7268220000000001,0.001574,0.0013999999999999
imdb,iid,4,42,10,2,0.8916,-0.001,0.3759533423059668,-0.0024916498517746,0.26572385430336,0.0008050501346588,0.6183555555555555,-0.0657777777777779,0.7268220000000001,0.000184,-0.001
imdb,iid,4,42,10,3,0.8916,0.0033999999999999,0.3759533423059668,-0.0041412309883362,0.26572385430336,0.0018343031406402,0.6183555555555555,-0.007711111111111,0.7268220000000001,-0.0006879999999999,0.0033999999999999
imdb,iid,4,107,1,0,0.8566,0.0036,0.507121176745272,-0.0051883191515627,0.332105427980423,0.0036907494068145,0.7537777777777779,0.0251555555555555,0.766058,-4.199999999998649e-05,0.0036
imdb,iid,4,107,1,1,0.8566,0.0001999999999999,0.507121176745272,-0.0026873239553352,0.332105427980423,0.0005262494087219,0.7537777777777779,-0.0365555555555554,0.766058,-0.0001719999999999,0.0001999999999999
imdb,iid,4,107,1,2,0.8566,0.0011999999999999,0.507121176745272,0.0077056986063896,0.332105427980423,0.0010135173797607,0.7537777777777779,-0.0053777777777777,0.766058,0.0018179999999999,0.0011999999999999
