dataset,partition,num_clients,seed,round,client_id,global_gtg_rob,gtg_rob_contribution,global_gtg_adv,gtg_adv_contribution,global_gtg_fair,gtg_fair_contribution,global_gtg_priv,gtg_priv_contribution,gtg_priv_abs_contribution,global_gtg_fair_eo,gtg_fair_eo_contribution,gtg_fair_eo_abs_contribution,accuracy,precision,recall,f1,loss,loss_contribution,acc_contribution,global_gtg_loss,global_gtg_acc
cifar,noniid,20,42,2,10,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,11,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,12,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0178129932154779,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,13,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,14,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,15,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,16,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,17,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,18,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,19,1.0,0.0,1.0,0.0,1.0,0.0,0.8124888888888888,0.0,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0,0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,3,0,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,1,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,2,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0714344847493055,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,3,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,4,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0007287130944331,,0.9906151608233638,4.849925975691138e-05,4.849925975691138e-05,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,5,0.9951159954071044,0.0,0.8524904214559387,0.3295898982854595,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,6,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,7,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.1008906393516354,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,8,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,9,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,10,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0498386505173473,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,11,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,12,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0019204192021636,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,13,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,14,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,15,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,16,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,17,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,18,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,3,19,0.9951159954071044,0.0,0.8524904214559387,0.0,1.0,0.0,0.746977777777778,0.0,,0.9906151608233638,0.0,0.0,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0,0.0,2.810520887374878,0.1046
cifar,noniid,20,42,4,0,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.0,2.6883978843688965,0.1348
cifar,noniid,20,42,4,1,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,-0.0926301221589784,0.0,2.6883978843688965,0.1348
cifar,noniid,20,42,4,2,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.0,2.6883978843688965,0.1348
cifar,noniid,20,42,4,3,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.0,2.6883978843688965,0.1348
cifar,noniid,20,42,4,4,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.0,2.6883978843688965,0.1348
cifar,noniid,20,42,4,5,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0067136715801202,0.0067136715801202,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.0,2.6883978843688965,0.1348
cifar,noniid,20,42,4,6,0.9037519693374634,0.0,0.2073170731707317,-0.1391505763421678,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.0,2.6883978843688965,0.1348
cifar,noniid,20,42,4,7,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,-0.1055556170575253,0.012430534351145,2.6883978843688965,0.1348
cifar,noniid,20,42,4,8,0.9037519693374634,0.0,0.2073170731707317,-0.0474185552829507,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,-0.0161099236641221,2.6883978843688965,0.1348
cifar,noniid,20,42,4,9,0.9037519693374634,-0.0200060584372089,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.0,2.6883978843688965,0.1348
cifar,noniid,20,42,4,10,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.0129923664122137,2.6883978843688965,0.1348
cifar,noniid,20,42,4,11,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.0,2.6883978843688965,0.1348
cifar,noniid,20,42,4,12,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.0,2.6883978843688965,0.1348
cifar,noniid,20,42,4,13,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.0,2.6883978843688965,0.1348
cifar,noniid,20,42,4,14,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0,,0.9690625425541342,0.0,0.0,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.0081603053435114,2.6883978843688965,0.1348
cifar,noniid,20,42,4,15,0.9037519693374634,0.0,0.2073170731707317,0.0,1.0,0.0,0.6772,0.0003104561878952,,0.9690625425541342,0.0005778033809354,0.0005778033809354,0.1348,0.243679779940009,0.1334507731587227,0.0723348961525824,2.6883978843688965,0.0,0.0,2.6883978843688965,0.1348
