dataset,partition,num_clients,seed,round,client_id,global_l1o_acc,l1o_acc_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_loss,l1o_loss_contribution,global_l1o_priv,l1o_priv_contribution,global_l1o_rob,l1o_rob_contribution,acc_contribution
imdb,noniid,4,107,4,3,0.8572,-0.005,0.4918338777414839,0.0051718503696444,0.3279969394207001,-0.0115331709384918,0.7965555555555555,0.0374888888888889,0.762858,0.001146,-0.005
imdb,noniid,4,107,5,0,0.8624,0.0456,0.473330241187384,-0.0479724032788255,0.3233983516693115,0.088505744934082,0.7119000000000002,-0.0630888888888885,0.759286,-0.010668,0.0456
imdb,noniid,4,107,5,1,0.8624,0.0126,0.473330241187384,-0.0213743951976477,0.3233983516693115,0.0205880105495452,0.7119000000000002,-0.1233111111111109,0.759286,-0.0059299999999999,0.0126
imdb,noniid,4,107,5,2,0.8624,0.0152000000000001,0.473330241187384,-0.017935103477394,0.3233983516693115,0.022601842880249,0.7119000000000002,-0.1595888888888887,0.759286,-0.0033739999999999,0.0152000000000001
imdb,noniid,4,107,5,3,0.8624,-0.0035999999999999,0.473330241187384,-0.0003418142398676,0.3233983516693115,-0.011515587568283,0.7119000000000002,-0.0877888888888884,0.759286,0.0004199999999999,-0.0035999999999999
imdb,noniid,4,107,6,0,0.8654,0.0441999999999999,0.4599029350589322,-0.0471598998168592,0.3183169364929199,0.0856000483036041,0.8348555555555555,0.0735555555555553,0.756066,-0.010286,0.0441999999999999
imdb,noniid,4,107,6,1,0.8654,0.0109999999999998,0.4599029350589322,-0.0209023083867606,0.3183169364929199,0.0195029973983764,0.8348555555555555,-0.0039777777777778,0.756066,-0.005232,0.0109999999999998
imdb,noniid,4,107,6,2,0.8654,0.0161999999999999,0.4599029350589322,-0.0186651290013598,0.3183169364929199,0.0251636207103729,0.8348555555555555,-0.0289444444444446,0.756066,-0.0013599999999999,0.0161999999999999
imdb,noniid,4,107,6,3,0.8654,-0.0046,0.4599029350589322,-0.002166030458309,0.3183169364929199,-0.0103896558284759,0.8348555555555555,0.0236333333333333,0.756066,0.000202,-0.0046
imdb,noniid,4,107,7,0,0.8698,0.0445999999999999,0.4483789376868246,-0.0513786968260208,0.3129798769950866,0.0847605466842651,0.9214444444444444,0.0271555555555556,0.752536,-0.010638,0.0445999999999999
imdb,noniid,4,107,7,1,0.8698,0.0128,0.4483789376868246,-0.0213993586959058,0.3129798769950866,0.0190607905387878,0.9214444444444444,0.0329111111111113,0.752536,-0.0056,0.0128
imdb,noniid,4,107,7,2,0.8698,0.0193999999999999,0.4483789376868246,-0.0172842796226768,0.3129798769950866,0.0287567675113677,0.9214444444444444,0.1639555555555556,0.752536,-0.001908,0.0193999999999999
imdb,noniid,4,107,7,3,0.8698,-0.0021999999999999,0.4483789376868246,-0.0025384935058359,0.3129798769950866,-0.00969198346138,0.9214444444444444,0.0502444444444445,0.752536,0.000414,-0.0021999999999999
