dataset,partition,num_clients,seed,round,client_id,global_l1o_acc,l1o_acc_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_fair_eo,l1o_fair_eo_contribution,global_l1o_fair,l1o_fair_contribution,global_l1o_loss,l1o_loss_contribution,global_l1o_priv,l1o_priv_contribution,global_l1o_rob,l1o_rob_contribution,acc_contribution
celeba,iid,4,107,9,1,,,0.4605034722222222,0.0342526600064977,,,,,,,0.7963555555555555,0.0250666666666665,0.80875,-0.000198,
celeba,iid,4,107,9,2,,,0.4605034722222222,0.0479816572134962,,,,,,,0.7963555555555555,0.0287555555555554,0.80875,0.0408359999999999,
celeba,iid,4,107,9,3,,,0.4605034722222222,0.0013197987528345,,,,,,,0.7963555555555555,0.0043111111111109,0.80875,-0.051522,
celeba,iid,4,107,10,0,,,0.4484703840312432,0.0038573339553706,,,,,,,0.8137777777777777,0.0302777777777776,0.794032,-0.0016479999999999,
celeba,iid,4,107,10,1,,,0.4484703840312432,0.0763267496460419,,,,,,,0.8137777777777777,0.0644777777777776,0.794032,0.0327859999999999,
celeba,iid,4,107,10,2,,,0.4484703840312432,0.0538593453524078,,,,,,,0.8137777777777777,-0.0327666666666666,0.794032,0.0300899999999999,
celeba,iid,4,107,10,3,,,0.4484703840312432,-0.015645482808359,,,,,,,0.8137777777777777,0.0267111111111111,0.794032,-0.060314,
celeba,iid,4,123,1,0,,,0.6108303249097473,-0.0037044160674193,,,,,,,0.8216555555555556,0.0497777777777777,0.864754,-0.03186,
celeba,iid,4,123,1,1,,,0.6108303249097473,0.02391443705928,,,,,,,0.8216555555555556,0.0575333333333334,0.864754,-0.0361299999999999,
celeba,iid,4,123,1,2,,,0.6108303249097473,0.1003360798183458,,,,,,,0.8216555555555556,0.1062555555555557,0.864754,0.017768,
celeba,iid,4,123,1,3,,,0.6108303249097473,0.0252753079441632,,,,,,,0.8216555555555556,0.0806111111111111,0.864754,0.010276,
celeba,iid,4,123,2,0,,,0.553879781420765,0.0272422268356121,,,,,,,0.7909222222222223,-0.0164555555555556,0.879542,0.025878,
celeba,iid,4,123,2,1,,,0.553879781420765,0.0161604831751509,,,,,,,0.7909222222222223,-0.0157888888888886,0.879542,-0.0357399999999999,
celeba,iid,4,123,2,2,,,0.553879781420765,0.0270803939781922,,,,,,,0.7909222222222223,0.0200111111111112,0.879542,0.04863,
celeba,iid,4,123,2,3,,,0.553879781420765,0.0055209192763447,,,,,,,0.7909222222222223,-0.0086111111111111,0.879542,-0.0157539999999999,
celeba,iid,4,123,3,0,,,0.5728324961782049,0.0014039247496334,,,,,,,0.7621555555555557,0.0527333333333333,0.923992,0.0039799999999999,
celeba,iid,4,123,3,1,,,0.5728324961782049,0.0674490639655044,,,,,,,0.7621555555555557,-0.0240444444444443,0.923992,0.02507,
celeba,iid,4,123,3,2,,,0.5728324961782049,0.0278960647884635,,,,,,,0.7621555555555557,0.0330000000000001,0.923992,-0.0013699999999999,
celeba,iid,4,123,3,3,,,0.5728324961782049,0.0062312317352137,,,,,,,0.7621555555555557,0.0205999999999999,0.923992,0.000122,
