dataset,partition,num_clients,seed,round,client_id,global_gtg_rob,gtg_rob_contribution,global_gtg_adv,gtg_adv_contribution,global_gtg_fair,gtg_fair_contribution,global_gtg_priv,gtg_priv_contribution,gtg_priv_abs_contribution,global_gtg_fair_eo,gtg_fair_eo_contribution,gtg_fair_eo_abs_contribution,accuracy,precision,recall,f1,loss,gtg_loss_contribution,gtg_acc_contribution,global_gtg_loss,global_gtg_acc,acc_contribution
adult,noniid,20,42,3,16,0.98795884942164,0.0065520702132299,0.5384428519373254,0.1603604736516919,0.894690592210631,0.0695015144255525,0.8246164777691063,0.0059684251806466,,0.9519708878579916,0.0442098969414033,0.0442098969414033,0.8427679394001433,0.8482523444160273,0.4228644283892903,0.5643788996029495,0.3467195332050323,-0.0,0.0,0.3467195332050323,0.8427679394001433,0.0
adult,noniid,20,42,3,17,0.98795884942164,0.0,0.5384428519373254,0.0,0.894690592210631,0.0,0.8246164777691063,0.0,,0.9519708878579916,0.0,0.0,0.8427679394001433,0.8482523444160273,0.4228644283892903,0.5643788996029495,0.3467195332050323,-0.0,0.0,0.3467195332050323,0.8427679394001433,0.0
adult,noniid,20,42,3,18,0.98795884942164,0.0,0.5384428519373254,0.0,0.894690592210631,0.0,0.8246164777691063,0.0,,0.9519708878579916,0.0,0.0,0.8427679394001433,0.8482523444160273,0.4228644283892903,0.5643788996029495,0.3467195332050323,-0.0,0.0,0.3467195332050323,0.8427679394001433,0.0
adult,noniid,20,42,3,19,0.98795884942164,0.0,0.5384428519373254,0.0,0.894690592210631,0.0,0.8246164777691063,0.0,,0.9519708878579916,0.0,0.0,0.8427679394001433,0.8482523444160273,0.4228644283892903,0.5643788996029495,0.3467195332050323,-0.0,0.0,0.3467195332050323,0.8427679394001433,0.0
adult,noniid,20,42,4,0,0.9879557784829562,0.0,0.5541015388343633,0.0,0.8910285828279906,0.0,0.885886847837482,0.0,,0.9528458379840804,0.0,0.0,0.8448152318558706,0.8444444444444444,0.4360390990225244,0.5751121076233184,0.340529054403305,-0.0,0.0,0.340529054403305,0.8448152318558706,0.0
adult,noniid,20,42,4,1,0.9879557784829562,0.0,0.5541015388343633,0.0,0.8910285828279906,0.0,0.885886847837482,0.0,,0.9528458379840804,0.0,0.0,0.8448152318558706,0.8444444444444444,0.4360390990225244,0.5751121076233184,0.340529054403305,-0.0,-0.0008967025289845,0.340529054403305,0.8448152318558706,-0.0008967025289845
adult,noniid,20,42,4,2,0.9879557784829562,0.0,0.5541015388343633,0.0,0.8910285828279906,0.0,0.885886847837482,0.0,,0.9528458379840804,0.0,0.0,0.8448152318558706,0.8444444444444444,0.4360390990225244,0.5751121076233184,0.340529054403305,-0.0,0.0,0.340529054403305,0.8448152318558706,0.0
adult,noniid,20,42,4,3,0.9879557784829562,0.0025287363912838,0.5541015388343633,0.0,0.8910285828279906,0.0,0.885886847837482,0.004950358575328,,0.9528458379840804,0.0371021959565576,0.0371021959565576,0.8448152318558706,0.8444444444444444,0.4360390990225244,0.5751121076233184,0.340529054403305,-0.0,0.0,0.340529054403305,0.8448152318558706,0.0
adult,noniid,20,42,4,4,0.9879557784829562,0.0,0.5541015388343633,0.0,0.8910285828279906,0.0,0.885886847837482,0.0,,0.9528458379840804,0.0144054139142033,0.0144054139142033,0.8448152318558706,0.8444444444444444,0.4360390990225244,0.5751121076233184,0.340529054403305,0.0293919975428204,0.0010563219407869,0.340529054403305,0.8448152318558706,0.0010563219407869
adult,noniid,20,42,4,5,0.9879557784829562,0.0,0.5541015388343633,0.0,0.8910285828279906,0.0,0.885886847837482,0.0,,0.9528458379840804,0.0,0.0,0.8448152318558706,0.8444444444444444,0.4360390990225244,0.5751121076233184,0.340529054403305,0.0213407138852696,-0.0005994402910625,0.340529054403305,0.8448152318558706,-0.0005994402910625
adult,noniid,20,42,4,6,0.9879557784829562,0.0,0.5541015388343633,0.0,0.8910285828279906,0.0,0.885886847837482,0.0,,0.9528458379840804,0.0,0.0,0.8448152318558706,0.8444444444444444,0.4360390990225244,0.5751121076233184,0.340529054403305,0.0150281563401222,0.0,0.340529054403305,0.8448152318558706,0.0
adult,noniid,20,42,4,7,0.9879557784829562,0.0,0.5541015388343633,0.0,0.8910285828279906,0.0,0.885886847837482,0.0,,0.9528458379840804,0.0,0.0,0.8448152318558706,0.8444444444444444,0.4360390990225244,0.5751121076233184,0.340529054403305,-0.0,0.0,0.340529054403305,0.8448152318558706,0.0
adult,noniid,20,42,4,8,0.9879557784829562,0.0,0.5541015388343633,0.0,0.8910285828279906,0.0,0.885886847837482,0.0,,0.9528458379840804,0.0,0.0,0.8448152318558706,0.8444444444444444,0.4360390990225244,0.5751121076233184,0.340529054403305,0.0260014279108298,0.0,0.340529054403305,0.8448152318558706,0.0
adult,noniid,20,42,4,9,0.9879557784829562,0.0,0.5541015388343633,0.0,0.8910285828279906,0.0,0.885886847837482,0.0,,0.9528458379840804,0.0,0.0,0.8448152318558706,0.8444444444444444,0.4360390990225244,0.5751121076233184,0.340529054403305,-0.0,0.0,0.340529054403305,0.8448152318558706,0.0
