dataset,partition,num_clients,seed,round,client_id,global_l1o_rob,l1o_rob_contribution,global_l1o_adv,l1o_adv_contribution,global_l1o_fair,l1o_fair_contribution,global_l1o_priv,l1o_priv_contribution,l1o_priv_abs_contribution,global_l1o_fair_eo,l1o_fair_eo_contribution,l1o_fair_eo_abs_contribution,accuracy,precision,recall,f1,loss,loss_contribution,acc_contribution,global_l1o_loss,global_l1o_acc
cifar,noniid,20,42,2,3,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,6.666666666688137e-05,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0388693809509277,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,4,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,-0.0536888888888886,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0141220092773437,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,5,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,-0.0657333333333329,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0614650249481201,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,6,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,-0.0264444444444442,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0168285369873046,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,7,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,-0.0260222222222219,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0154130458831787,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,8,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,-0.0224444444444442,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.050389289855957,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,9,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,0.0084555555555556,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0157465934753417,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,10,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,-0.0034666666666665,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0067672729492187,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,11,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,-0.0175999999999998,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0265438556671142,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,12,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,-0.0142666666666664,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0171825885772705,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,13,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,-0.0264888888888885,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0474617481231689,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,14,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,-0.0301111111111107,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0417771339416503,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,15,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,-0.0351999999999999,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0158121585845947,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,16,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,-0.0311666666666663,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0382020473480224,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,17,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,-0.0477999999999998,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.02168869972229,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,18,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,-0.0281111111111107,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,0.0055947303771972,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,2,19,1.0,0.0,1.0,0.0,1.0,0.0,0.8296444444444446,-0.0006777777777775,,1.0,0.0,0.0,0.1026,0.01026,0.1,0.0186105568655904,2.8039395809173584,-0.0220484733581542,-0.0,2.8039395809173584,0.1026
cifar,noniid,20,42,3,0,0.9981639981269836,-0.001468002796173,0.9366602687140116,-0.0613942059941596,1.0,0.0,0.7505555555555554,-0.0272444444444446,,0.9906151608233638,-0.0087291619610452,0.0087291619610452,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0350339412689209,0.0017999999999999,2.810520887374878,0.1046
cifar,noniid,20,42,3,1,0.9981639981269836,-0.0013999938964843,0.9366602687140116,-0.0497474982762797,1.0,0.0,0.7505555555555554,-0.0266000000000001,,0.9906151608233638,-0.0072064289897866,0.0072064289897866,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0080089569091796,0.0013999999999999,2.810520887374878,0.1046
cifar,noniid,20,42,3,2,0.9981639981269836,-0.0015100240707397,0.9366602687140116,-0.0575144885675418,1.0,0.0,0.7505555555555554,-0.0050444444444448,,0.9906151608233638,-0.007271119698935,0.007271119698935,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,6.937980651855469e-05,0.0013999999999999,2.810520887374878,0.1046
cifar,noniid,20,42,3,3,0.9981639981269836,-0.0010579824447631,0.9366602687140116,-0.0536498088053682,1.0,0.0,0.7505555555555554,0.015422222222222,,0.9906151608233638,-0.0068988569948147,0.0068988569948147,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0260329246520996,0.0013999999999999,2.810520887374878,0.1046
cifar,noniid,20,42,3,4,0.9981639981269836,-0.0014359951019287,0.9366602687140116,-0.0594486807023308,1.0,0.0,0.7505555555555554,-0.0236,,0.9906151608233638,-0.0087317085648765,0.0087317085648765,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0044021606445312,0.0016,2.810520887374878,0.1046
cifar,noniid,20,42,3,5,0.9981639981269836,0.006305992603302,0.9366602687140116,0.329790039706378,1.0,0.0,0.7505555555555554,-0.0158888888888888,,0.9906151608233638,0.0354860105652584,0.0354860105652584,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0466470718383789,-0.0013999999999999,2.810520887374878,0.1046
cifar,noniid,20,42,3,6,0.9981639981269836,-0.0015079975128173,0.9366602687140116,-0.0613942059941596,1.0,0.0,0.7505555555555554,-0.0243111111111111,,0.9906151608233638,-0.0088227791655787,0.0088227791655787,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0177884101867675,0.0017999999999999,2.810520887374878,0.1046
cifar,noniid,20,42,3,7,0.9981639981269836,-0.0014359951019287,0.9366602687140116,-0.0594562361403574,1.0,0.0,0.7505555555555554,-0.0248000000000001,,0.9906151608233638,-0.0089998777790588,0.0089998777790588,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0276875495910644,0.0017999999999999,2.810520887374878,0.1046
cifar,noniid,20,42,3,8,0.9981639981269836,-0.0001779794692993,0.9366602687140116,-0.0459986908235606,1.0,0.0,0.7505555555555554,-0.0019333333333333,,0.9906151608233638,-0.0075493021620006,0.0075493021620006,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0389938354492187,0.0007999999999999,2.810520887374878,0.1046
cifar,noniid,20,42,3,9,0.9981639981269836,-0.0015959739685058,0.9366602687140116,-0.0594562361403574,1.0,0.0,0.7505555555555554,0.0072888888888889,,0.9906151608233638,-0.0082632657583529,0.0082632657583529,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0172195434570312,0.0016,2.810520887374878,0.1046
cifar,noniid,20,42,3,10,0.9981639981269836,-0.0006600022315979,0.9366602687140116,0.0122416640628487,1.0,0.0,0.7505555555555554,-0.0065111111111113,,0.9906151608233638,0.0003663409921204,0.0003663409921204,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,0.0110590457916259,0.0007999999999999,2.810520887374878,0.1046
cifar,noniid,20,42,3,11,0.9981639981269836,-0.0014439821243286,0.9366602687140116,-0.0399934277840429,1.0,0.0,0.7505555555555554,-0.0254666666666669,,0.9906151608233638,-0.005702884250154,0.005702884250154,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0147581100463867,0.0016,2.810520887374878,0.1046
cifar,noniid,20,42,3,12,0.9981639981269836,-0.0012360215187072,0.9366602687140116,-0.0438844783677004,1.0,0.0,0.7505555555555554,-0.010466666666667,,0.9906151608233638,-0.0075716097574326,0.0075716097574326,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0115880966186523,0.0016,2.810520887374878,0.1046
cifar,noniid,20,42,3,13,0.9981639981269836,-0.0013719797134399,0.9366602687140116,-0.0575257777976163,1.0,0.0,0.7505555555555554,-0.0468444444444446,,0.9906151608233638,-0.0087199963973393,0.0087199963973393,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0446958541870117,0.0013999999999999,2.810520887374878,0.1046
cifar,noniid,20,42,3,14,0.9981639981269836,-0.0014359951019287,0.9366602687140116,-0.0613942059941596,1.0,0.0,0.7505555555555554,-0.0040666666666668,,0.9906151608233638,-0.0091027251589744,0.0091027251589744,0.1046,0.2174482006543075,0.1020835759082343,0.0227809492947363,2.810520887374878,-0.0272912979125976,0.0017999999999999,2.810520887374878,0.1046
