dataset,partition,num_clients,seed,weight_metric,round,acc,loss,rel,res,fairDP,fairEO,priv
celebanoniid,noniid,4,42,fairdp,10,0.7792,0.4679414927959442,0.880694,0.7435831622176592,0.8492723023016033,0.9245129545003166,0.9370905600000001
celebanoniid,noniid,20,2025,loss,10,0.9094,0.21782739460468292,0.912368,0.5438750824719596,0.8383907262188885,0.9644157310930577,0.9582444800000001
celebanoniid,noniid,20,9928,loss,10,0.9142,0.20692940056324005,0.943372,0.46816889083351565,0.8416211042602049,0.9702961632197843,0.89470848
celebanoniid,noniid,4,107,fairdp,10,0.7224,0.5851909518241882,0.87285,0.7743632336655593,0.874471222770386,0.9304384335010978,0.9423360000000001
celebanoniid,noniid,4,2025,fairdp,10,0.7732,0.5123647451400757,0.92967,0.7498706673564408,0.8550922407666808,0.9297047255825039,0.9447539199999999
celebanoniid,noniid,4,123,fairdp,10,0.659,0.7599566578865051,0.924524,0.8270106221547799,0.9007488528953865,0.9357405255413929,0.9485881599999999
celebanoniid,noniid,20,42,fairdp,10,0.8774,0.3024613857269287,0.901872,0.5944837018463642,0.8218921372499888,0.9345776078143367,0.9493632000000001
celebanoniid,noniid,4,9928,fairdp,10,0.8596,0.32502201199531555,0.858404,0.5844578873894835,0.8381401500992035,0.9432681207159157,0.9504806399999999
celebanoniid,noniid,20,107,fairdp,10,0.8718,0.30052798986434937,0.925494,0.6574902500573526,0.8334630030520993,0.9402779953741393,0.92230656
celebanoniid,noniid,20,123,fairdp,10,0.88,0.2917841672897339,0.856618,0.5829545454545455,0.8356245301697756,0.9419543678998562,0.9276377599999999
celebanoniid,noniid,20,2025,fairdp,10,0.874,0.30897045135498047,0.853972,0.6020594965675057,0.8184407592867207,0.9286905273285337,0.9085286400000001
celebanoniid,noniid,20,9928,fairdp,10,0.8938,0.269684761762619,0.898902,0.595211456701723,0.8411774612942051,0.9568466388419752,0.9118271999999998
celebanoniid,noniid,4,42,faireo,10,0.8054,0.39810407161712646,0.9186,0.4464862180283089,0.9041517587568138,0.987238831621369,0.9738841599999999
celebanoniid,noniid,4,107,faireo,10,0.9152,0.20437125861644745,0.911862,0.5181381118881119,0.8356179576813905,0.9653449298118512,0.95809024
celebanoniid,noniid,4,123,faireo,10,0.9118,0.2258395552635193,0.93576,0.5621846896249177,0.847840321394682,0.9807688973326164,0.8883391999999999
celebanoniid,noniid,4,2025,faireo,10,0.872,0.2875833511352539,0.901052,0.6488532110091743,0.8174631016394251,0.9271952618545275,0.8953254400000001
celebanoniid,noniid,4,9928,faireo,10,0.85,0.35889557003974915,0.921224,0.40823529411764703,0.9066221928285937,0.9690181476877695,0.9327910399999999
celebanoniid,noniid,20,42,faireo,10,0.9086,0.2575991153717041,0.921822,0.4651111600264143,0.8578682955483714,0.9751150813951444,0.90678144
celebanoniid,noniid,20,107,faireo,10,0.9108,0.25601691007614136,0.924054,0.5421607378129117,0.8529627545298821,0.9710125396793956,0.9563584
celebanoniid,noniid,20,123,faireo,10,0.8966,0.2661484479904175,0.88838,0.5781842516172206,0.8257469016878971,0.9467226325527628,0.93061248
celebanoniid,noniid,20,2025,faireo,10,0.9038,0.24089418351650238,0.91353,0.48285018809471125,0.861746063695628,0.9794664373413056,0.9718918400000001
celebanoniid,noniid,20,9928,faireo,10,0.9062,0.24800126254558563,0.942458,0.47208121827411165,0.8501801272598064,0.9814288864537398,0.9423270399999999
celebanoniid,noniid,4,42,rel,10,0.9068,0.2483932077884674,0.893546,0.5516100573445082,0.8251266230965457,0.9515639828285232,0.8927577600000001
celebanoniid,noniid,4,107,rel,10,0.5502,0.9728647470474243,0.98385,,0.9792999478308735,0.9826796509279674,0.97012992
celebanoniid,noniid,4,123,rel,10,0.8848,0.26791977882385254,0.930326,0.41161844484629295,0.8803059493343302,0.9789440146305864,0.95596608
celebanoniid,noniid,4,2025,rel,10,0.8118,0.3970358371734619,0.90455,0.48608031534860807,0.9054186058930574,0.9853642572072164,0.97663488
celebanoniid,noniid,4,9928,rel,10,0.579,1.0375466346740723,0.9596,0.9226252158894646,0.9543770718742683,0.9654006846367253,0.9682848
celebanoniid,noniid,20,42,rel,10,0.8896,0.26202982664108276,0.88787,0.5908273381294964,0.8254026676087234,0.9441240858030795,0.8998720000000002
celebanoniid,noniid,20,123,rel,10,0.8958,0.2625061869621277,0.8720680000000001,0.5583835677606608,0.8300748852895387,0.9480620586556654,0.8443238399999999
celebanoniid,noniid,20,2025,rel,10,0.8162,0.4012461304664612,0.82948,0.6611124724332271,0.8350157534330982,0.9242947867661282,0.9355686400000001
celebanoniid,noniid,20,9928,rel,10,0.8982,0.2513803243637085,0.893442,0.5666889334224003,0.8423522935930562,0.9634973723766926,0.9276006400000001
celebanoniid,noniid,4,42,res,10,0.7818,0.4493749439716339,0.876254,0.7055512918905091,0.8569645783954092,0.9320691314709839,0.93375104
celebanoniid,noniid,4,107,res,10,0.634,0.8145190477371216,0.903798,0.8444794952681388,0.9237944618569744,0.9523957319455204,0.99028352
celebanoniid,noniid,4,123,res,10,0.726,0.63051438331604,0.881884,0.762534435261708,0.8677196340767092,0.9240076707468652,0.9599852800000002
celebanoniid,noniid,4,2025,res,10,0.7528,0.594807505607605,0.892416,0.7749734325185973,0.8558316457100136,0.9212104872126367,0.9491052800000002
celebanoniid,noniid,4,9928,res,10,0.8136,0.40362250804901123,0.899832,0.6543756145526056,0.8555868205176655,0.9385772990109718,0.9525375999999999
celebanoniid,noniid,4,42,priv,10,0.8626,0.3126508891582489,0.889044,0.355205193600742,0.8670040544037727,0.9879864319678368,0.9491679999999998
celebanoniid,noniid,4,107,priv,10,0.8814,0.2944488823413849,0.926368,0.36759700476514634,0.8699468860782373,0.9911002436110021,0.96730816
celebanoniid,noniid,4,123,priv,10,0.9018,0.2379370778799057,0.918752,0.32778886671102236,0.8626317065055311,0.9814155065227774,0.9028864000000001
celebanoniid,noniid,4,2025,priv,10,0.8518,0.40490224957466125,0.917022,0.41606010800657434,0.8831411565114875,0.991059790400362,0.9588703999999999
celebanoniid,noniid,4,9928,priv,10,0.8464,0.34277403354644775,0.91081,0.44210775047258977,0.8936743907097877,0.9857851264232416,0.9717593600000001
celebanoniid,noniid,20,42,priv,10,0.9062,0.24767626821994781,0.9291240000000001,0.4824542043698963,0.8573309946228829,0.9795305805584318,0.9505497600000001
celebanoniid,noniid,20,107,priv,10,0.9114,0.24902495741844177,0.930288,0.5038402457757296,0.8598926219710071,0.9743337859245149,0.9093593599999998
celebanoniid,noniid,20,123,priv,10,0.9078,0.23795634508132935,0.925688,0.4699272967614012,0.8465866192352088,0.9701189487551224,0.9730463999999999
celebanoniid,noniid,20,2025,priv,10,0.9024,0.24658574163913727,0.9126380000000001,0.4940159574468085,0.8677541396407313,0.9825009795087842,0.9446816
celebanoniid,noniid,20,9928,priv,10,0.9004,0.24494005739688873,0.93967,0.5082185695246557,0.8532552302630227,0.9809265039339037,0.9231078400000001
celebanoniid,noniid,20,107,res,10,0.8826,0.28120777010917664,0.862158,0.66281441196465,0.8251964557856384,0.9350915851608763,0.8867647999999999
celebanoniid,noniid,20,123,res,10,0.903,0.25015494227409363,0.891864,0.5698781838316722,0.8426135500063672,0.9684092863809781,0.9233753600000001
celebanoniid,noniid,20,42,res,10,0.8952,0.2584134042263031,0.859588,0.5958445040214477,0.8322824198259112,0.9512805496917629,0.94938368
celebanoniid,noniid,20,2025,res,10,0.9024,0.24888120591640472,0.8393619999999999,0.601063829787234,0.8309695652709714,0.9567982436636406,0.9735808000000001
celebanoniid,noniid,20,9928,res,10,0.8968,0.25645700097084045,0.903382,0.6170829616413915,0.8391440977000398,0.958286857662547,0.9416204800000001
